地区,类型,名称,链接,标记
上海,合作办学项目,上海外国语大学与德国拜罗伊特大学合作举办德语专业本科教育项目（已停办）,https://www.crs.jsj.edu.cn/aproval/detail/579,●
上海,合作办学项目,上海海事大学与荷兰泽兰德大学合作举办机械电子工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/582,▲
上海,合作办学项目,上海对外经贸大学与英国中央兰开夏大学合作举办英语专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/603,●
上海,合作办学项目,上海师范大学与德国兰茨胡特应用技术大学合作举办汽车服务工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/700,▲
上海,合作办学项目,上海工程技术大学与法国国际时装学院合作举办服装与服饰设计专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/783,▲
上海,合作办学项目,华东理工大学与德国克劳斯塔尔工业大学合作举办化学工程与工艺专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/850,▲
上海,合作办学项目,上海师范大学与荷兰应用科技大学合作举办园艺专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/851,▲
上海,合作办学项目,同济大学与意大利博洛尼亚大学合作举办自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/941,▲
上海,合作办学项目,上海师范大学与俄罗斯彼得罗扎沃茨克国立格拉祖诺夫音乐学院合作举办音乐表演专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1047,▲
上海,合作办学项目,上海外国语大学与西班牙阿尔卡拉大学合作举办西班牙语专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1048,▲
上海,合作办学项目,上海交通大学与加拿大渥太华大学合作举办临床医学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1131,▲
上海,合作办学项目,上海师范大学天华学院与美国西俄勒冈大学合作举办学前教育专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1132,▲
上海,合作办学项目,上海外国语大学与德国拜罗伊特大学合作举办德语专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1869,▲
上海,合作办学项目,上海建桥学院与美国沃恩航空科技大学合作举办机械设计制造及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/1870,▲
上海,合作办学项目,上海师范大学天华学院与美国阿拉巴马大学合作举办小学教育专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2129,▲
上海,合作办学项目,上海师范大学天华学院与美国威斯康星协和大学合作举办康复治疗学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2225,▲
上海,合作办学项目,华东理工大学与奥地利莱奥本大学合作举办高分子材料与工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2367,▲
上海,合作办学项目,华东理工大学与德国勃兰登堡工业大学合作举办生物工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2423,▲
上海,合作办学项目,上海立信会计金融学院与美国新泽西理工学院合作举办金融工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2541,▲
上海,合作办学项目,上海电力大学与美国西弗吉尼亚大学合作举办信息管理与信息系统专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/3104,▲
